stockName,MarketCap,P/E,ForP/E,PEG,P/S,P/B,P/Cash,EPS,Own,ROA,ROE,Ratio,D/E,Margin,20SMA,52wkH/L,RSI,Gap,Price,Change,Volume
KMT,3049.18,12.54,11.92,3.11,1.13,1.77,14.07,3.07,0.01,0.09,0.15,3.74,0.41,0.09,0.02,1.49,53.85,0,38.49,-0.01,468142
KMX,10125.29,23.97,19.32,1.96,0.92,3.35,22.53,1.87,0.01,0.05,0.15,3.38,2.06,0.04,0.05,1.82,64.11,0,44.82,0,907583
KNL,750.63,14.69,14.15,1.47,0.85,3.86,25.05,1.06,0.04,0.07,0.28,1.47,1.03,0.06,-0.06,1.59,30.98,0,15.57,0,356240
KNX,1242.76,18.08,14.81,1.27,1.31,2.48,121.84,0.86,0.07,0.09,0.14,2.57,0.09,0.07,0,1.27,50.66,0,15.55,0,462331
KO,187503.29,22.04,17.99,2.46,3.91,5.77,10.17,1.91,0.01,0.1,0.27,1.01,1.08,0.18,0.02,1.22,59.62,0,42.1,-0.01,15132866
KOF,32955.02,29.78,24.67,2.55,2.71,4.16,17.22,5.45,0.06,0.09,0.14,1.55,0.29,0.09,-0.05,1.79,38.72,-0.01,162.3,0,113772
KOG,2074.72,15.96,8.06,0.32,5.08,2.01,59.41,0.49,0.02,0.06,0.14,0.75,1.06,0.32,-0.04,1.44,40.73,0,7.82,-0.01,4307591
KONA,82.24,16.32,18.52,0.93,0.86,4.38,10.07,0.59,0.38,0.13,0.29,1.12,0.02,0.05,0.08,1.49,73.34,0.02,9.63,0.05,52408
KOP,882.88,13.57,11.45,0.68,0.57,5.84,13.24,3.14,0.03,0.09,0.54,2.66,1.97,0.04,-0.01,1.59,49.14,0,42.61,-0.03,136871
KORS,11258.23,33.01,23,1.03,5.73,12.17,27.74,1.7,0.02,0.38,0.52,4.81,0,0.17,0.02,1.83,52.64,0,56.12,-0.01,2305255
KR,17855.08,12.38,11.17,1.7,0.18,4.19,75.02,2.77,0.01,0.06,0.36,0.72,2.11,0.02,0.03,1.71,69.24,0,34.28,0,3282880
KRFT,30246.48,18.38,16.27,3.12,1.65,8.46,24.1,2.77,0,0.07,0.16,1.34,2.79,0.09,-0.01,1.28,52.65,0,50.92,-0.01,2546263
KRO,1823.26,8.32,10.42,0.92,0.92,1.72,6.45,1.89,0.01,0.11,0.22,3.73,0.38,0.11,0.03,1.89,50.48,0,15.73,-0.02,137752
KS,1352.8,21.74,10.91,1.94,1.11,2.61,82.04,1.31,0.1,0.06,0.12,1.35,0.69,0.05,0.03,2.21,58.56,0,28.48,-0.01,200903
KSS,10718.64,11.47,10.04,1.56,0.56,1.77,19.96,4.21,0.01,0.07,0.16,1.86,0.75,0.05,0.02,1.33,58.9,0,48.28,0.01,1830208
KT,8334.63,10.5,8.63,13.13,0.47,0.84,3.75,1.52,0.03,0.02,0.08,1.15,0.92,0.03,0.02,1.57,52.44,0,15.96,0,232028
KVHI,201.94,54.25,19.73,1.81,1.47,1.84,5.28,0.24,0.09,0.03,0.04,4.06,0.1,0.03,0,1.76,49.48,0,13.02,0,28502
KWR,745.48,15.65,13.76,1.57,1.05,2.65,22.9,3.63,0.02,0.09,0.18,2.58,0.11,0.07,-0.01,1.7,46.8,0,56.82,-0.03,104085
KYAK,1563.09,95.5,29.93,3.6,5.34,4.04,8.24,0.42,0,0.05,0.05,6.89,0,0.06,0,1.64,49.08,-0.01,40.11,-0.01,30281
LABL,415.08,16.35,10.92,1.21,0.64,1.53,23.76,1.57,0.02,0.03,0.1,1.65,1.54,0.04,-0.01,1.48,52.35,0,25.67,-0.01,32662
LAD,1244.98,17.08,12.38,0.68,0.36,2.49,82.94,2.85,0.03,0.06,0.18,1.22,1.82,0.02,0.07,2.31,65.29,0,48.67,-0.01,415715
LANC,2130.73,20.11,18.19,2.01,1.83,4.52,23.03,3.88,0.02,0.17,0.21,3.75,0,0.09,0,1.4,53.55,0,78.02,0,69118
LBY,401.66,61.94,8.14,6.19,0.48,16.27,5.98,0.31,0.03,0.01,0.27,1.92,19.06,0.01,0.04,1.53,60.4,0,19.2,0.02,105660
LCC,2716.78,5.2,5.42,0.08,0.2,3.41,1.14,3.19,0.01,0.07,1.35,1.08,6.07,0.05,0.03,1.85,59.16,0.01,16.59,0.02,7263073
LCI,312.29,35.48,31.43,1.48,2.26,2.65,8.2,0.31,0.22,0.06,0.08,2.65,0.06,0.06,0.08,2.97,61.9,-0.01,11,0.03,240323
LCUT,163.96,7.84,8.57,0.78,0.34,0.95,87.68,1.64,0.19,0.04,0.13,3.18,0.56,0.03,0.03,1.47,60.04,0,12.86,0,11395
LDR,524.32,27.22,20.93,2.27,3.44,6.64,31.78,2.03,0.02,0.07,0.24,1.69,1.83,0.13,0.01,1.43,49.98,0,55.25,0,11668
LEA,5253.15,4.37,8.76,0.31,0.36,1.56,3.75,13,0,0.17,0.43,1.51,0.18,0.09,0.06,1.71,62.59,0,56.84,-0.01,1043340
LEG,4655.03,19.39,17.9,1.29,1.25,3.23,12.96,1.68,0.02,0.08,0.18,1.83,0.74,0.07,-0.02,1.83,49.36,-0.03,32.58,-0.03,1805126
LF,597.15,7.13,11.69,0.36,1.03,1.8,4.98,1.23,0.01,0.23,0.31,3.89,0,0.15,0.06,1.75,58.71,0,8.77,-0.02,1004978
LFUS,1470.96,19.55,14.5,1.96,2.2,2.5,6.25,3.41,0.01,0.1,0.14,2.87,0.14,0.11,0.02,1.45,53.35,0,66.68,0,46469
LG,1037.32,16.36,15.22,3.09,1.02,1.67,22.28,2.81,0.01,0.03,0.1,1.45,0.72,0.06,0.05,1.33,74.84,0,45.96,-0.01,119435
LGCY,1590.53,19.37,18.1,48.43,4.59,2.36,453.14,1.43,0.02,0.05,0.12,0.85,1.16,0.2,0.01,1.32,55.56,0,27.7,-0.01,309962
LH,8708.5,15.85,12.18,1.58,1.53,3.14,46.87,5.91,0,0.09,0.21,8.32,0.84,0.1,0,1.18,58.74,0,93.67,0,533148
LHCG,380.26,14.14,15.13,1.3,0.6,1.37,39.12,1.53,0.04,0.09,0.1,2.19,0.07,0.06,-0.01,1.48,50.2,0,21.63,-0.03,35514
LIFE,12605.85,30.72,15.66,3.14,3.32,2.71,48.25,2.4,0,0.05,0.09,1.36,0.52,0.11,0.06,1.86,86.15,0,73.74,0,3713476
LII,3137.79,21.11,15.19,1.1,1.07,6.94,89.91,2.95,0.02,0.09,0.33,1.79,1.14,0.05,0.01,1.71,53.37,0,62.27,-0.01,165068
LINTA,11845.81,7.46,15.64,0.44,1.18,1.5,4.45,2.79,0.01,0.07,0.22,1.17,1.04,0.16,0,1.39,51.77,0,20.8,0.01,2168982
LIOX,221,18.89,9.19,0.94,0.48,3.15,8.57,0.18,0.11,0.07,0.19,1.73,0.38,0.02,-0.01,1.67,45.44,-0.01,3.4,0,185149
LKQ,6862.74,26.14,18.25,1.37,1.6,3.37,108.93,0.88,0.01,0.08,0.14,2.77,0.52,0.06,0.08,1.58,63.53,0,23,0.01,1723455
LL,2269.85,42.16,29.41,2.81,2.65,8.98,31.21,1.96,0.04,0.16,0.23,3.18,0,0.06,0.19,3.25,79.98,0,82.63,0.02,800216
LLL,7341.38,10.14,9.99,21.57,0.56,1.35,21.04,8.03,0.01,0.05,0.13,1.76,0.66,0.06,0,1.29,52.68,0,81.39,-0.01,483771
LLTC,8251.58,20.63,18.29,1.94,6.42,8.65,5.67,1.72,0.01,0.21,0.5,12.9,0.86,0.32,-0.02,1.41,42.34,-0.01,35.48,-0.01,2755749
LMAT,92.72,43.43,20.27,1.74,1.68,1.75,4.49,0.14,0.3,0.04,0.04,5.15,0,0.04,0,1.38,48.61,0,6.08,0.01,1053
LMCA,13465.88,9.48,44,1.9,6.74,2.11,9.48,11.79,0.02,0.18,0.24,5.74,0.08,0.71,0.01,1.13,59.52,0,111.75,0.01,230084
LMIA,268.47,15.14,7.85,0.86,0.96,1.34,61.72,1.39,0.14,0.05,0.09,2.89,1.3,0.06,-0.02,1.55,45.96,0,21.04,-0.01,40119
LMNR,248.9,81.3,62.33,4.07,3.41,4.45,12444.85,0.23,0.01,0.02,0.05,1.01,1.93,0.04,-0.01,1.75,47.1,0,18.7,-0.01,14083
LMNX,687.28,54.53,29.21,1.03,3.39,2.57,12.19,0.3,0.05,0.04,0.05,4.71,0.01,0.06,-0.01,1.66,46.96,-0.01,16.36,-0.03,102159
LMT,31710.98,11.42,10.96,1.58,0.68,104.18,10.35,8.67,0,0.07,3.02,1.18,20.74,0.06,0.03,1.29,69.72,0,98.97,0.01,1634527
LNCE,1711.16,29.13,17.44,1.44,1.06,1.96,184.39,0.85,0.01,0.04,0.07,2.07,0.62,0.04,0,1.21,48.15,0,24.76,0,88313
LNDC,349.54,17.06,15.15,0.85,0.84,2.02,25.46,0.79,0,0.09,0.13,1.7,0.27,0.05,-0.02,2.28,53.33,-0.01,13.48,-0.04,96363
LNKD,20475.23,988.21,90.27,16.07,21.06,22.46,27.32,0.19,0.01,0.02,0.03,2.45,0,0.02,0.06,2.18,61.92,0,187.76,0,1204974
LNN,979.94,15.89,14.87,1.27,1.57,2.82,6.14,4.8,0.02,0.14,0.19,3.29,0.01,0.1,-0.04,1.81,35,0,76.26,0,265323
LNT,5764.51,17.74,15.75,3.02,1.86,1.73,271.91,2.93,0,0.03,0.11,0.97,1,0.11,0.02,1.27,65.42,0,51.97,-0.01,329765
LOCK,776.14,59.67,19.89,2.36,2.81,3.52,5.78,0.15,0,0.12,2.16,1.24,0,0.09,-0.01,1.84,36.58,-0.01,8.95,0,395654
LOGM,528.53,154.79,28.14,7.76,3.81,2.91,2.49,0.14,0.05,0.01,0.02,2.57,0,0.03,0.22,2.36,73.76,0.21,21.67,0.21,2097749
LOPE,1156.81,16.62,13.11,0.87,2.26,4.86,11.01,1.53,0.01,0.17,0.35,1.4,0.43,0.14,0.03,1.72,57.58,0,25.43,-0.01,242091
LOW,41036.83,22.44,14.9,1.28,0.81,3.02,61.62,1.68,0,0.06,0.13,1.27,0.66,0.04,-0.01,1.63,47.56,0,37.7,0,5232803
LPI,2161.61,34.81,18.16,2.16,3.68,2.58,65.07,0.48,0.01,0.03,0.08,0.52,1.46,0.1,-0.03,1.7,44.09,0,16.71,0.01,477100
LPNT,2147.24,14.43,13.29,1.84,0.63,1.04,25.26,3.14,0.02,0.03,0.08,2.08,0.83,0.05,-0.01,1.43,49.75,0,45.31,0.02,265243
LPS,2321.96,27.21,10.24,3.02,1.18,3.85,26.26,0.99,0.01,0.04,0.15,1.3,1.8,0.04,0.07,1.47,68.28,0.02,26.94,0.04,1401372
LPSN,705.39,114.82,32.38,4.59,4.48,4.15,6.83,0.11,0.08,0.03,0.04,3.83,0,0.04,-0.04,1.72,35.59,0,12.63,-0.01,206979
LPX,2515.58,106.24,11.22,21.25,1.47,2.42,4.48,0.17,0.01,0.01,0.03,4.16,0.85,0.02,-0.07,2.7,37.6,0,18.06,-0.01,3465169
LQDT,1085.18,24.61,14.47,1.09,2.21,4.08,23.65,1.4,0,0.13,0.19,1.3,0,0.09,0.07,2.33,60.23,0,34.45,-0.03,374457
LRCX,7414.52,81.55,12.08,7.41,2.34,1.61,2.94,0.56,0.01,0.01,0.02,4.66,0.27,0.02,0.1,1.5,72.23,-0.01,45.67,0,4278667
LRN,935.29,43.47,25.99,2.01,1.21,1.88,6.53,0.58,0.02,0.03,0.05,3.27,0.08,0.03,0.03,1.67,63.9,0,25.21,0,140375
LSI,3519.62,26.67,8.89,2.18,1.44,3.09,5.34,0.24,0,0.06,0.12,2.57,0,0.06,0.01,1.58,47.95,0,6.4,-0.01,6578540
LSTR,2509.12,19.45,16.63,1.27,0.9,6.6,22.85,2.77,0.01,0.15,0.38,1.72,0.39,0.05,-0.02,1.32,43.68,0,53.89,0,365463
LTM,2005.3,17.27,14.1,1.13,1.78,1.77,121.53,2.67,0.08,0.06,0.11,0.6,0.66,0.1,0.08,1.34,70.74,0,46.12,0,505239
LUB,195.92,31.55,33.05,4.51,0.55,1.13,67.56,0.22,0.26,0.03,0.04,0.45,0.15,0.02,-0.01,1.73,43.13,0,6.94,0,29769
LUFK,2977.48,36.19,19.84,1.51,2.32,3.64,41.18,2.44,0.01,0.06,0.12,3.1,0.4,0.06,0.09,1.98,81.84,0,88.3,0,1083352
LULU,10708.78,40.08,28.96,1.69,7.81,9.4,18.14,1.85,0,0.3,0.36,5.9,0,0.2,0.09,1.55,64.68,0,74.14,-0.01,1545651
LVS,46307.11,30.36,18.06,2.5,4.16,6.56,18.43,1.85,0.36,0.08,0.2,1.71,1.45,0.17,0.03,1.78,58.9,-0.02,56.17,-0.02,4978708
LWAY,187.53,33.74,21.64,1.35,2.31,4.78,40.68,0.34,0.05,0.11,0.15,3.17,0.14,0.07,-0.04,1.77,44.24,-0.03,11.47,0.04,55300
LXU,715.87,12.77,6.91,1.28,0.94,2.02,7.3,2.5,0,0.11,0.18,2.43,0.23,0.08,0,1.81,44.77,0,31.93,-0.02,138114
LYB,34598.54,12.17,8.47,1.17,0.76,3.09,12.66,4.94,0,0.12,0.26,2.41,0.4,0.06,0.02,1.98,52.87,0.02,60.14,-0.01,4348182
LYTS,165.98,345.5,14.1,28.79,0.59,1.18,11.45,0.02,0,0,0,4.36,0,0,-0.01,1.4,47.34,0,6.91,-0.03,25791
LZB,926.07,19.88,16.08,4.97,0.71,1.97,7.74,0.89,0.01,0.07,0.1,3.37,0.02,0.04,-0.01,1.78,46.34,0,17.69,-0.01,176418
M,17471.31,13.61,10.07,1.18,0.63,2.86,9.52,3.28,0,0.06,0.22,1.55,1.15,0.05,0.03,1.43,63.67,0,44.63,0,2565513
MA,65722.47,24.4,17.71,1.35,8.89,9.54,13.04,21.94,0.1,0.24,0.43,1.91,0,0.37,0.01,1.41,56.48,0,535.33,0,453909
MAN,4001.33,22.83,13.63,1.84,0.2,1.6,6.86,2.28,0.01,0.03,0.07,1.41,0.3,0.01,-0.04,1.91,42.39,0,52.06,-0.01,487275
MANH,1344.01,25.66,19.07,2.57,3.52,8.25,12.38,2.69,0.01,0.21,0.33,2.05,0,0.14,-0.02,1.84,41.11,0,69.03,0.01,103647
MANT,950.59,9.98,11.87,1.33,0.37,0.82,7.05,2.57,0,0.05,0.08,1.92,0.17,0.04,0,1.64,51.77,0,25.65,-0.01,102962
MASC,103.43,4.26,13.36,0.85,0.81,1.11,2.87,2.38,0.11,0.22,0.3,4.08,0,0.2,-0.04,1.5,42.22,0,10.15,-0.01,27412
MASI,1125.22,18.33,15.69,1.26,2.28,4.13,15.73,1.07,0,0.17,0.23,2.45,0,0.13,-0.01,1.39,48.21,0,19.61,-0.01,187437
MAT,15422.11,19.58,14.4,1.78,2.38,5.06,12.24,2.28,0,0.14,0.28,3.51,0.54,0.12,0.02,1.54,64.76,0,44.65,0,1955532
MATX,979.7,18.98,14.91,1.96,0.63,3.49,49.23,1.21,0.01,0.03,0.07,1.21,1.14,0.03,-0.22,1.68,25.61,0,22.96,0.02,134500
MBND,46.41,42.6,6.09,2.13,0.15,1.05,4.58,0.05,0.03,0.01,0.03,0.74,1.08,0.01,0.01,2.09,49.19,0,2.13,-0.01,8889
MCEP,469.77,14.71,10.03,3.68,6.98,6.31,447.4,1.63,0.1,0.23,0.52,2.13,1.08,0.44,0.03,1.45,58.87,0,23.98,0.01,57648
MCHP,6954.82,49.44,17.12,6.18,4.67,3.61,4.29,0.72,0,0.04,0.08,7.75,0.5,0.1,0,1.32,48.06,0,35.6,-0.02,1997741
MCK,24262.48,15.81,12.91,1.13,0.2,3.17,8.9,6.59,0,0.05,0.21,1.16,0.59,0.01,-0.03,1.32,38.21,0,104.18,-0.01,1202743
MCO,12276.88,18.13,14.21,1.22,4.5,32.05,6.92,3.04,0,0.2,6.38,2.17,4.34,0.26,0.02,1.66,65.18,0,55.12,0,1014854
MCRI,176.03,19.82,10.69,2.79,1.03,1.25,9.25,0.55,0.19,0.04,0.07,1.22,0.58,0.05,0.12,1.7,73.12,0.02,10.9,0.04,340319
MCRL,578.25,49.55,15.25,4.95,2.31,2.61,5.58,0.2,0.2,0.04,0.05,3.54,0,0.05,0,1.25,46.49,0.01,9.91,0,462163
MCRS,3339.9,19.66,16.21,1.09,2.77,2.89,5.29,2.16,0,0.12,0.16,2.52,0,0.15,-0.04,1.49,37.64,-0.07,42.46,-0.02,4830124
MCS,344.17,17.64,17.16,1.26,0.82,1.14,39.88,0.72,0.01,0.04,0.06,0.42,0.94,0.06,0.04,1.45,59.92,-0.01,12.7,0,80689
MD,4399.41,18.12,14.33,1.47,2.42,2.16,157.91,4.84,0.01,0.1,0.13,1.34,0.07,0.13,0.01,1.54,57.66,0,87.69,0,148050
MDLZ,56272.98,36.69,17.93,2.79,1.61,1.74,12.57,0.86,0,0.02,0.05,1.05,0.6,0.04,0.03,1.33,64.8,0,31.56,0,9887581
MDP,1394.28,14.5,13.83,0.97,0.96,2.09,56.93,2.66,0.01,0.06,0.15,0.93,0.43,0.08,0.01,1.77,50.45,0.01,38.58,0.02,449873
MDR,2456.4,12.08,9.8,0.64,0.67,1.3,3.73,0.86,0,0.07,0.11,1.61,0.05,0.06,-0.01,1.5,40.62,0,10.39,-0.01,2369931
MDSO,1434.75,76.14,38.89,3.63,6.57,9.92,11.71,0.71,0.06,0.09,0.15,2.46,0,0.08,-0.01,2.33,49.17,0,54.06,0.01,142841
MDT,47000.23,14.13,12.04,2.09,2.86,2.64,19.07,3.28,0,0.1,0.19,1.32,0.64,0.21,-0.01,1.38,51.42,0,46.36,-0.01,3497282
MEAS,657.13,20.46,19.09,1.36,1.91,2.43,20.43,2.08,0.05,0.08,0.13,3.16,0.39,0.1,0.08,1.58,70.18,0,42.56,-0.01,24898
MED,351.96,22.23,12.11,1.48,0.99,3.92,5.87,1.15,0.12,0.13,0.19,3.08,0.05,0.04,0.08,2.14,70.61,0,25.56,0,258602
MEI,520.69,14.64,13.77,0.98,1.05,1.84,7.1,0.96,0.01,0.09,0.14,2.96,0.14,0.07,0.06,2.22,63.21,0,14.05,-0.01,145898
MELI,4298.44,42.15,28.55,1.4,11.51,14.84,22.02,2.31,0.02,0.24,0.4,1.62,0,0.27,0.03,1.58,61.48,-0.01,97.36,0.01,284668
MENT,2046.78,15.65,10.8,1.56,1.88,1.98,9.15,1.16,0.01,0.08,0.14,1.71,0.22,0.13,0.03,1.42,64.6,0,18.15,0,682615
MFB,415.96,12.49,12.58,6.24,0.69,1.6,4.97,1.43,0.02,0.08,0.14,4.02,0.27,0.06,0.01,1.6,48.39,-0.01,17.86,-0.01,46889
MFRM,1268.32,31.76,15.88,1.37,1.26,4.74,87.11,1.18,0.01,0.06,0.16,0.86,0.95,0.04,0.07,1.85,73.21,0,37.48,0,94835
MG,529.69,23.49,17.4,1.05,1.03,2.46,59.52,0.8,0.02,0.07,0.12,2.12,0.42,0.05,-0.11,1.49,28.44,0,18.79,0,60264
MGA,13815.63,9.74,9.24,0.81,0.45,1.47,9.08,6.09,0.05,0.09,0.16,1.37,0.05,0.05,0.03,1.67,61.3,0,59.32,0.01,552038
MGAM,576.14,20.38,21.01,0.82,3.48,3.53,7.86,1,0.01,0.14,0.21,3.25,0.2,0.18,0.01,1.93,55.08,-0.01,20.38,0,182744
MGEE,1278.91,19.84,18.39,4.96,2.36,2.21,27.59,2.79,0,0.04,0.11,2.94,0.62,0.12,0,1.32,53.41,0,55.34,-0.01,37964
MGLN,1370.28,9.36,14.63,4.21,0.43,1.36,3.51,5.41,0,0.11,0.16,2.22,0,0.05,0.02,1.41,53.06,0,50.62,0,113737
MHK,7888.72,31.4,20.69,1.25,1.36,2.11,16.52,3.61,0.01,0.04,0.07,3.08,0.38,0.04,0.01,1.9,53.58,0,113.36,0,411740
MIC,2629.26,187.21,56.55,18.72,2.54,3.93,18.6,0.29,0.01,0.01,0.02,1.03,1.78,0.01,0.01,1.8,57.81,0,54.29,0,174245
MIDD,2803.09,23.02,17.49,1.21,2.7,4.32,81.56,6.48,0.02,0.1,0.21,1.7,0.4,0.12,0.01,1.66,52.43,0,149.18,-0.01,64352
MIND,188.88,11.58,8.55,0.77,1.8,1.07,12.47,1.27,0.03,0.09,0.1,6.11,0.02,0.16,-0.03,2.14,45.02,0,14.71,-0.02,39326
MITL,195.43,4.23,3.83,0.28,0.33,2.43,1.91,0.86,0.04,0.08,0.95,2.08,3.99,0.09,-0.01,2.08,46.96,0.01,3.64,0.02,12170
MKC,8511.96,23.34,20.23,2.8,2.11,5.5,124.08,3.05,0,0.09,0.24,1.09,0.72,0.1,-0.01,1.37,51.71,0,71.2,-0.01,433643
MKSI,1380.45,45.05,15.93,1.5,2.32,1.37,2.31,0.58,0,0.03,0.03,11.19,0,0.05,0,1.32,49.09,-0.01,26.13,-0.01,281564
MKTG,381.74,55.5,33.78,2.52,2.34,2.41,3.58,0.14,0.01,0.04,0.05,5.79,0.01,0.05,-0.08,2.37,39.98,-0.01,7.77,0,183131
MLHR,1464.33,25.75,13.8,12.88,0.84,5.02,7.03,0.97,0.01,0.07,0.2,1.91,0.86,0.03,-0.01,1.76,49.13,0,24.98,0,206363
MLI,1424.67,21.13,11.66,1.76,0.66,2.71,7.75,2.4,0,0.06,0.11,2.79,0.5,0.04,-0.01,1.41,43.97,0,50.7,-0.01,74304
MLM,4436.14,52.84,21.53,6.6,2.18,3.15,174.72,1.83,0.01,0.03,0.06,4.04,0.74,0.04,-0.01,1.71,46.8,-0.01,96.69,-0.01,190203
MLNX,2247.25,20.58,18.8,0.44,4.49,3.54,5.36,2.53,0.02,0.17,0.21,4.98,0.01,0.22,-0.11,2.88,39.68,-0.01,52.08,-0.04,1184978
MMC,20548.3,17.53,13.93,1.6,1.72,3.11,8.93,2.13,0,0.08,0.19,1.67,0.45,0.1,-0.01,1.29,49.54,0,37.33,-0.01,1800997
MMLP,1084.77,34.24,22.27,17.12,0.73,3.03,210.23,1.19,0,0.04,88.66,1.76,1.34,0.02,0.04,1.52,64.92,0.01,40.75,-0.01,44658
MMM,71693.98,16.4,14.04,1.7,2.39,3.87,16.38,6.33,0,0.14,0.26,2.33,0.32,0.15,-0.02,1.35,41.67,0,103.79,-0.01,3359384
MMP,11984.57,27.54,20.9,2.65,6.76,7.89,36.51,1.92,0,0.1,0.29,1.78,1.58,0.25,0.01,1.75,54.13,0.01,52.87,-0.02,612108
MMS,2670.27,34.06,20.94,2.35,2.43,5.79,15.98,2.3,0.02,0.12,0.19,2.32,0,0.07,-0.01,1.9,52.01,0,78.33,-0.02,130470
MMSI,415.09,21.22,12.51,1.93,1.05,1.09,42.71,0.46,0.01,0.03,0.05,2.22,0.62,0.05,-0.17,1.52,17.45,-0.11,9.76,-0.12,1510139
MN,227.6,93.11,12.79,11.64,0.67,1.38,1.87,0.18,0,0.39,0.02,3.27,0,0.23,0.03,1.54,61.76,-0.01,16.76,-0.01,29758
MNRO,1268.4,29.48,22.6,1.47,1.79,3.57,167.78,1.38,0.04,0.08,0.13,1.31,0.49,0.06,0.04,1.38,61.08,0,40.68,0.01,188954
MNST,9401.07,30.29,21.22,1.59,4.56,14.6,29.42,1.87,0.01,0.28,0.42,2.89,0,0.17,0.06,2.1,64.17,-0.01,56.65,0,1129214
MNTX,131.98,16.01,9.58,0.4,0.64,2.21,69.83,0.67,0.09,0.06,0.15,2.42,0.83,0.04,-0.02,2.08,50.22,-0.01,10.73,-0.01,161496
MO,72452.37,16.7,14.04,2.24,2.96,20.38,19.19,2.16,0,0.12,1.2,0.75,3.89,0.18,0.02,1.23,63.69,0,36.07,0,6613508
MOG-A,2050.28,13.75,11.63,1.42,0.82,1.52,13.48,3.29,0.01,0.05,0.12,2.52,0.56,0.06,0,1.42,49.92,0,45.23,-0.02,85336
MOH,1509.13,72.33,14.66,4.86,0.24,1.98,1,0.46,0.04,0.01,0.03,2.15,0.84,0,0.03,1.92,58.27,0,33.27,0,822838
MOLX,4772.71,18.54,16.1,1.76,1.33,1.89,6.69,1.45,0.01,0.07,0.1,3.25,0.16,0.07,-0.04,1.4,41.16,0.01,26.89,0,835296
MON,55882.37,22.46,19.79,1.73,3.79,4.22,11.76,4.66,0,0.12,0.2,2.45,0.17,0.17,0,1.56,53.36,0,104.68,-0.01,1407821
MORN,3053.08,31.29,21.06,2.09,4.64,4.21,9.5,2.1,0.55,0.09,0.13,1.84,0,0.15,-0.01,1.31,46.55,-0.01,65.7,0.02,48905
MOS,25485.4,13.39,12.07,1.97,2.52,1.94,7.67,4.47,0,0.11,0.15,4.13,0.08,0.19,0.02,1.44,55.16,0,59.86,-0.02,2660572
MOV,776.43,13.75,13.21,1.15,1.54,1.83,4.62,2.22,0.04,0.11,0.14,5.91,0,0.11,-0.04,1.85,39.61,0,30.52,-0.01,105883
MOVE,449.33,93.92,27.49,2.26,2.26,4.53,16.57,0.12,0.03,0.04,0.05,1.36,0,0.03,0.02,1.75,57.28,0,11.27,0.01,150220
MPC,26914.65,8.2,7.77,0.63,0.33,2.32,5.54,9.92,0,0.13,0.32,1.59,0.29,0.04,-0.01,2.8,47.66,0,81.35,0,2123205
MPEL,13446.55,32.36,19.73,0.78,3.3,3.97,7.87,0.75,0.32,0.06,0.13,1.6,0.94,0.1,0.06,2.68,65.68,-0.01,24.27,0,3701107
MPR,195.51,24.18,20.78,2.02,1.78,2.21,5.7,0.55,0.01,0.07,0.09,5.43,0.03,0.07,0.26,1.66,81.01,0.01,13.3,0,172548
MPWR,842.05,52.43,18.46,2.1,3.94,3.19,5.24,0.44,0.07,0.06,0.06,9.13,0,0.07,0.02,1.57,52.52,0,23.07,0,289033
MPX,269.75,37.26,25.29,3.73,1.81,3.44,96.34,0.19,0.09,0.07,0.08,2.72,0,0.05,-0.01,1.68,50.16,0,7.08,-0.01,56671
MR,4672.85,26.16,17.63,1.58,4.41,3.49,5.42,1.51,0.01,0.11,0.15,3.03,0.11,0.17,0.02,1.57,57.95,0,39.5,0,475680
MRC,2976.02,23.61,10.73,1.57,0.53,2.51,80.24,1.24,0,0.04,0.12,2.85,1.06,0.02,-0.03,1.74,42.56,0,29.28,-0.02,808773
MRK,144441.02,23.93,12.53,5.57,3.06,2.73,8.95,2,0,0.06,0.11,1.9,0.39,0.13,0.03,1.37,64.58,0,47.87,0.01,10613332
MRO,22459.03,14.22,10.23,7.82,1.38,1.23,32.83,2.23,0,0.05,0.09,0.74,0.38,0.1,-0.01,1.57,46.97,0,31.72,0,4690179
MRTN,448.59,15.48,12.84,1.53,0.69,1.33,49.62,1.31,0.23,0.06,0.09,1.58,0,0.04,0.01,1.34,49.79,0,20.28,-0.05,125564
MRVL,5287.92,19.52,11.71,1.56,1.67,1.2,2.76,0.54,0.09,0.06,0.06,4.25,0,0.1,0.03,2.16,56.5,-0.01,10.54,0,5721507
MSA,1770.84,20.82,15.23,1.14,1.51,3.74,23.06,2.29,0.06,0.08,0.18,2.38,0.6,0.07,-0.03,1.59,44.32,-0.01,47.68,0.01,262686
MSCC,1913.02,65.5,8.59,4.37,1.88,2,9.41,0.32,0.01,0.02,0.03,4.03,0.79,0.03,0.01,1.4,53.79,0.04,20.96,0.05,1069642
MSCI,4007.99,22.45,14.26,1.5,4.22,2.8,15.77,1.48,0.02,0.06,0.13,1.01,0.6,0.19,0.01,1.5,51.51,0,33.22,0,215227
MSEX,302.92,21.53,19.55,7.97,2.74,1.64,99.97,0.89,0.01,0.03,0.08,0.44,0.92,0.13,0,1.16,47.27,0.01,19.16,0,47469
MSFT,265481.79,16.39,10.36,1.92,3.49,3.46,3.56,1.94,0,0.13,0.23,2.93,0.19,0.22,0.08,1.26,73.18,0,31.79,0,47790600
MSG,4313.67,34.4,31.87,1.58,3.25,3.09,17.35,1.64,0.01,0.05,0.1,0.82,0,0.1,0,1.71,51.06,-0.01,56.41,-0.01,234126
